id;medication_id;name;frequency;body_system;description;severity;created_at
fef150d7-f49f-47c2-9f38-cab7bc96b152;745e9e61-0671-442e-af34-823e8b92edf0;Analgetika-Asthma;rare;Immunsystem;Ein kleiner Teil (5-10%) der Patienten mit Acetylsalicylsäure-induziertem Asthma oder anderen Manifestationen einer sogenannten Acetylsalicylsäure-Intoleranz kann in ähnlicher Weise auch auf Paracetamol reagieren.;moderate;2025-12-07 21:53:47.7208+00
9666d52b-0a89-4d78-9af2-64638122d22d;745e9e61-0671-442e-af34-823e8b92edf0;Bronchospasmus;uncommon;Atemwege, Brustkorb und Mediastinum;;;2025-12-07 21:53:47.757543+00
a291e8da-2d40-4c75-93a1-77c5ea492451;745e9e61-0671-442e-af34-823e8b92edf0;Erbrechen;common;Gastrointestinaltrakt;;mild;2025-12-07 21:53:47.80605+00
68d0a788-fe0c-4f72-9e01-96274478717e;745e9e61-0671-442e-af34-823e8b92edf0;Diarrhoe;uncommon;Gastrointestinaltrakt;;mild;2025-12-07 21:53:47.852736+00
ec5d19f4-c81f-4cf1-a862-e2f72a0adb80;745e9e61-0671-442e-af34-823e8b92edf0;Bauchschmerzen;uncommon;Gastrointestinaltrakt;;mild;2025-12-07 21:53:47.900031+00
6874430c-897a-46e1-a088-6dac623ac914;745e9e61-0671-442e-af34-823e8b92edf0;Anstieg der Leberenzyme;uncommon;Leber und Gallenerkrankungen;;moderate;2025-12-07 21:53:47.949886+00
b44828f1-9535-4ae9-a0f6-ad51d31fd904;745e9e61-0671-442e-af34-823e8b92edf0;Cholestase;uncommon;Leber und Gallenerkrankungen;;moderate;2025-12-07 21:53:47.99057+00
87061415-9490-4722-932a-c0c20494b542;745e9e61-0671-442e-af34-823e8b92edf0;Gelbsucht;uncommon;Leber und Gallenerkrankungen;;moderate;2025-12-07 21:53:48.029766+00
7fab8431-4167-4672-9ee4-59da338b3cf3;745e9e61-0671-442e-af34-823e8b92edf0;Urtikaria;uncommon;Haut und Unterhautzellgewebe;;mild;2025-12-07 21:53:48.072296+00
813f6fdd-c25e-4c7a-b714-dc8bd8b00e6e;745e9e61-0671-442e-af34-823e8b92edf0;Erythem;uncommon;Haut und Unterhautzellgewebe;;mild;2025-12-07 21:53:48.116999+00
b59d74ce-e313-49fb-9b4e-fc682448ea58;745e9e61-0671-442e-af34-823e8b92edf0;Ausschlag;uncommon;Haut und Unterhautzellgewebe;;mild;2025-12-07 21:53:48.179605+00
75275c61-9e7a-4626-acce-ca8495e697b2;745e9e61-0671-442e-af34-823e8b92edf0;Akutes generalisiertes pustulöses Exanthem (AGEP);very_rare;Haut und Unterhautzellgewebe;;severe;2025-12-07 21:53:48.22131+00
374e7bba-8ac9-499f-afe8-cc7ba99ffe1d;745e9e61-0671-442e-af34-823e8b92edf0;Toxisch-epidermale Nekrolyse (TEN, Lyell Syndrom);very_rare;Haut und Unterhautzellgewebe;;severe;2025-12-07 21:53:48.260806+00
c6b47f06-4046-4259-aa0d-b16afa3aa00f;745e9e61-0671-442e-af34-823e8b92edf0;Stevens-Johnson-Syndrom (SJS);very_rare;Haut und Unterhautzellgewebe;;severe;2025-12-07 21:53:48.304255+00
38781530-e5c7-4d20-ba42-52025ec6ee36;745e9e61-0671-442e-af34-823e8b92edf0;Purpura;uncommon;Haut und Unterhautzellgewebe;;mild;2025-12-07 21:53:48.350953+00
6502841f-d5ba-4da9-aa1c-9c7eeab85da2;745e9e61-0671-442e-af34-823e8b92edf0;Flushing;uncommon;Haut und Unterhautzellgewebe;;mild;2025-12-07 21:53:48.388632+00
4c03689a-f34d-4ea4-8ae1-8475ebf76ed4;745e9e61-0671-442e-af34-823e8b92edf0;Pruritus;uncommon;Haut und Unterhautzellgewebe;;mild;2025-12-07 21:53:48.42594+00
1fa472e4-ad9e-40cb-8ced-c73ab066070b;745e9e61-0671-442e-af34-823e8b92edf0;Fixes Arzneimittelexanthem;uncommon;Haut und Unterhautzellgewebe;;mild;2025-12-07 21:53:48.461148+00
87a57044-a0f0-4e39-813d-6b5fae8025ea;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Parästhesien (engourdissement et fourmillements);common;Erkrankungen des Nervensystems;Engourdissement et fourmillements aux extrémités et au visage.;mild;2025-12-07 21:54:45.037755+00
f531ea98-cef5-4e10-b49b-937afe1c5605;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Légers troubles gastro-intestinaux;common;Erkrankungen des Gastrointestinaltrakts;;mild;2025-12-07 21:54:45.071867+00
4eba099a-4bdb-41d5-9520-95a6302d9e6b;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Müdigkeit;common;Allgemeine Erkrankungen und Reaktionen am Verabreichungsort;Diuresebedingt;common;2025-12-07 21:54:45.108352+00
8fe70ac7-5af9-4fac-8bc7-8e78cf20a6ca;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Schwindel;common;Erkrankungen des Nervensystems;Diuresebedingt;common;2025-12-07 21:54:45.142396+00
c004fcf9-ba56-428b-a642-57bf7b44c0c5;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Kopfschmerzen;common;Erkrankungen des Nervensystems;Diuresebedingt;common;2025-12-07 21:54:45.174901+00
a7f693fc-cd8c-4a11-a402-da889cb5d1ad;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Störungen du bilan électrolytique (Hypokaliämie, Hyponatriämie);uncommon;Stoffwechsel- und Ernährungsstörungen;Surtout lors d'un traitement à long terme. Peut entraîner des tensions ou crampes musculaires.;moderate;2025-12-07 21:54:45.204137+00
3f1c77af-52e9-4535-8a8d-a91126017935;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Azidose métabolique;uncommon;Stoffwechsel- und Ernährungsstörungen;Peut conduire à une hypercalciurie avec formation de calculs rénaux.;moderate;2025-12-07 21:54:45.241451+00
a880b3c0-2f72-4353-8b4f-2686f93364e7;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Hyperurikämie;uncommon;Stoffwechsel- und Ernährungsstörungen;;moderate;2025-12-07 21:54:45.281277+00
bd54e074-b85b-4cd1-bac5-f8d45f2e2d93;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Gichtanfälle;uncommon;Stoffwechsel- und Ernährungsstörungen;;moderate;2025-12-07 21:54:45.31522+00
62828440-e1dc-48f8-b573-2adbc85ef7e0;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Osteomalazie;uncommon;Skelettmuskulatur-, Bindegewebs- und Knochenerkrankungen;Après un traitement à long terme. Retard de croissance chez les enfants.;moderate;2025-12-07 21:54:45.346593+00
9186308f-12e7-41fa-9eb8-73824c1aa38f;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Wachstumsverzögerungen;uncommon;Skelettmuskulatur-, Bindegewebs- und Knochenerkrankungen;Chez les enfants après un traitement à long terme.;moderate;2025-12-07 21:54:45.379968+00
53913b56-d5f4-4314-843d-9aacb4531383;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Exanthème;very_rare;Erkrankungen der Haut und des Unterhautgewebes;Réactions typiques aux sulfamides. Inclut l'érythème polymorphe, le syndrome de Stevens-Johnson, la nécrolyse épidermique toxique.;severe;2025-12-07 21:54:45.411848+00
ad2ecc19-75f6-457c-a2e2-76230d1d8355;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Réactions anaphylactiques;very_rare;Erkrankungen des Immunsystems;Réactions typiques aux sulfamides.;severe;2025-12-07 21:54:45.441604+00
cb60db97-cd62-4807-beae-570a382cb7a3;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Fieber;very_rare;Allgemeine Erkrankungen und Reaktionen am Verabreichungsort;Réactions typiques aux sulfamides.;moderate;2025-12-07 21:54:45.472881+00
41e7c661-e936-4fb8-92d3-aa4643739adb;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Altérations de l'hémogramme;very_rare;Erkrankungen des Blutes und des Lymphsystems;Réactions typiques aux sulfamides. Comprend anémie aplasique, leucocytopénie, thrombocytopénie, agranulocytose, insuffisance médullaire, pancytopénie.;severe;2025-12-07 21:54:45.503192+00
aeb3f9e9-aa0d-403e-8c02-4a5fca327f42;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Leberfunktionsstörungen;very_rare;Leber und Gallenerkrankungen;Réactions typiques aux sulfamides. Comprend hépatite, ictère cholestatique, hépatite fulminante.;severe;2025-12-07 21:54:45.535454+00
b85deb33-223f-486e-a92a-953e4ca6e10b;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Ictère cholestatique;rare;Leber und Gallenerkrankungen;Réactions typiques aux sulfamides.;severe;2025-12-07 21:54:45.570196+00
49dad070-12a7-4deb-b314-3dd78af41998;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Myopie transitoire (Pseudomyopie);uncommon;Augenerkrankungen;;mild;2025-12-07 21:54:45.60768+00
3fd1fcbe-534d-4b02-b700-37279a0d6c37;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Dyspnée;uncommon;Erkrankungen der Atemwege, des Brustraums und des Mediastinums;Augmentation de la dyspnée chez les patients atteints de maladies cardiaques ou pulmonaires (aggravation de l'acidose).;moderate;2025-12-07 21:54:45.643625+00
62f40798-80e6-4396-8d14-c572e68f7b0b;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Hypotonie;uncommon;Gefässerkrankungen;Liée à la diurèse.;moderate;2025-12-07 21:54:45.676849+00
7025a874-882d-41df-b66d-61c7a5b69487;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Pollakiurie;uncommon;Erkrankungen der Nieren und Harnwege;Liée à la diurèse.;mild;2025-12-07 21:54:45.706629+00
b086c9be-6712-4b39-be35-24f5e6c3f386;8aecdd8a-a09d-4f0d-905e-642c8a33d338;Cataracte nucléaire;common;Troubles oculaires;;;2025-12-07 22:05:28.809841+00
f703b8cf-dc7c-4bb7-a5c4-28fb80432515;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Hyperkalzurie avec néphrolithiase et cristallurie;uncommon;Erkrankungen der Nieren und Harnwege;Lors de traitement à long terme.;moderate;2025-12-07 21:54:45.74261+00
594c2828-ef79-4fc3-ac93-82aefa4aee13;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Hématurie;very_rare;Erkrankungen der Nieren und Harnwege;;mild;2025-12-07 21:54:45.843935+00
e6b278f2-9e1e-4f46-b60e-fd7e13dcb637;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Confusion;uncommon;Psychiatrische Erkrankungen;;moderate;2025-12-07 21:54:45.957792+00
a86c98d2-fba1-4cb0-9ec2-7194dda4efab;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Ataxie;uncommon;Erkrankungen des Nervensystems;Observée après un traitement prolongé.;moderate;2025-12-07 21:54:46.095751+00
2737d8e1-f071-4d59-9617-a466c3cacfa1;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Troubles auditifs;uncommon;Erkrankungen des Ohrs und des Labyrinths;;mild;2025-12-07 21:54:46.211931+00
ee2f90c8-eb3d-4155-a830-d7c6df68fe2c;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Rougeur (Flush);unbekannt;Gefässerkrankungen;;mild;2025-12-07 21:54:46.329591+00
34fda3cc-54f7-4c9a-a572-574e90a3cfaa;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Vomissements;common;Erkrankungen des Gastrointestinaltrakts;;mild;2025-12-07 21:54:46.43275+00
3a207ff5-4fe9-4471-86b8-5a7ce5b9ddb1;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Mélénas;common;Erkrankungen des Gastrointestinaltrakts;;moderate;2025-12-07 21:54:46.543364+00
3d0f1b17-d4b7-42e7-b1bd-782ca4c8b8db;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Purpura thrombopénique;very_rare;Erkrankungen der Haut und des Unterhautgewebes;;severe;2025-12-07 21:54:46.659969+00
f8fbf975-9a56-4f14-9bba-e49bf743781f;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Rash (Exanthem);unbekannt;Erkrankungen der Haut und des Unterhautgewebes;;moderate;2025-12-07 21:54:46.793381+00
fd15c004-099a-4baa-a1ee-5ff48c05a268;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Soif;uncommon;Allgemeine Erkrankungen und Reaktionen am Verabreichungsort;;mild;2025-12-07 21:54:46.90203+00
536d1599-dece-495c-8b48-3b371440fbec;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Décollement de la choroïde (Aderhautabhebung);unbekannt;Augenerkrankungen;Symptômes incluant une vision réduite ou des douleurs oculaires dans les heures suivant le début du traitement.;moderate;2025-12-07 21:54:47.026884+00
3aef21c0-ff20-454e-8b1b-44371a867b93;08504ce8-3ff5-4703-b813-de627c948249;Infektion des oberen Respirationstraktes;common;Infektionen und parasitäre Erkrankungen;;;2025-12-07 22:36:59.934314+00
c5c699a3-81bd-464d-9aa6-abd86dc1a1f1;08504ce8-3ff5-4703-b813-de627c948249;Katarakt;very_common;Augenerkrankungen;14%;;2025-12-07 22:37:00.18468+00
d9646f1e-aec6-4757-bf26-0ec08d0bde6a;08504ce8-3ff5-4703-b813-de627c948249;Hyperpigmentation der Iris;common;Augenerkrankungen;;;2025-12-07 22:37:00.370523+00
b8c5475d-60ff-40fc-9ac2-85b7343e6f05;08504ce8-3ff5-4703-b813-de627c948249;konjunktivale Beschwerden;uncommon;Augenerkrankungen;;;2025-12-07 22:37:00.56819+00
49c4bca3-13a6-497d-99c4-4850df29e794;08504ce8-3ff5-4703-b813-de627c948249;Arthritis;uncommon;Skelettmuskulatur-, Bindegewebs- und Knochenerkrankungen;;;2025-12-07 22:37:00.748212+00
6a786daa-d978-47c3-bce6-557f428affb7;08504ce8-3ff5-4703-b813-de627c948249;Photophobie (Latanoprost);uncommon;Augenerkrankungen (Latanoprost);;;2025-12-07 22:37:00.929195+00
dd52cada-e4d6-4963-9665-023ecaf390c7;08504ce8-3ff5-4703-b813-de627c948249;Keratitis punctata;unknown;Augenerkrankungen (Latanoprost);;;2025-12-07 22:37:01.128031+00
23262703-7f2a-4d7b-9824-516c0627f101;08504ce8-3ff5-4703-b813-de627c948249;Pseudopemphigoid der Bindehaut;unknown;Augenerkrankungen (Latanoprost);;;2025-12-07 22:37:01.553823+00
ca38f508-b8ee-42a5-89c9-64c53521cee3;08504ce8-3ff5-4703-b813-de627c948249;Verstärkung von Asthma;unknown;Erkrankungen der Atemwege, des Brustraums und Mediastinums (Latanoprost);;;2025-12-07 22:37:01.714926+00
aa40b071-b57e-47af-8d24-c381b5b1bdd6;08504ce8-3ff5-4703-b813-de627c948249;Verdunkelung der Haut der Augenlider;unknown;Erkrankungen der Haut und des Unterhautgewebes (Latanoprost);;;2025-12-07 22:37:01.886046+00
5da2f5c8-3c63-4c4b-b831-8806ede323ab;c080d3c3-ff73-4c37-944e-3310ab732b12;Depression;common;Psychiatrische Erkrankungen;;;2025-12-07 23:00:16.010385+00
3d962264-e721-4ba0-8fdc-f19b14dc701e;c080d3c3-ff73-4c37-944e-3310ab732b12;Angina pectoris (monothérapie);common;Herzerkrankungen;;;2025-12-07 23:00:16.258908+00
67c1e1a8-22bd-47ac-9348-5abc288fa857;c080d3c3-ff73-4c37-944e-3310ab732b12;Muskelschmerzen;common;Skelettmuskulatur-, Bindegewebs- und Knochenerkrankungen;;;2025-12-07 23:00:16.452427+00
7431b344-d25d-49b4-a74c-ffdfc4a709de;c080d3c3-ff73-4c37-944e-3310ab732b12;Hautmelanom;uncommon;Gutartige, bösartige und unspezifische Neubildungen (einschl. Zysten und Polypen);;;2025-12-07 23:00:16.645472+00
8d9c9b61-ee47-4cea-acbb-316891141808;c080d3c3-ff73-4c37-944e-3310ab732b12;Dystonie;common;Erkrankungen des Nervensystems;;;2025-12-07 23:00:16.857748+00
688a7322-4b92-47a1-a163-dad2994a3e6a;c080d3c3-ff73-4c37-944e-3310ab732b12;Bauchschmerzen;common;Erkrankungen des Gastrointestinaltrakts;;;2025-12-07 23:00:17.075012+00
b81d366b-4dc4-4759-895a-f210bb1d4eef;c080d3c3-ff73-4c37-944e-3310ab732b12;Nackenschmerzen (combinaison);common;Skelettmuskulatur-, Bindegewebs- und Knochenerkrankungen;;;2025-12-07 23:00:17.282956+00
fa07ab92-9ba5-4a4c-a2a2-78d46f1f925e;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Insuffisance rénale;uncommon;Erkrankungen der Nieren und Harnwege;Lors de traitement à long terme.;severe;2025-12-07 21:54:45.777596+00
91d87491-d68e-420e-a9b8-02474b60616c;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Glucosurie;very_rare;Erkrankungen der Nieren und Harnwege;;mild;2025-12-07 21:54:45.877753+00
9c4ca83c-8ea2-4ed1-8297-61a7cae9464a;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Agitation;uncommon;Psychiatrische Erkrankungen;;moderate;2025-12-07 21:54:45.999446+00
e19c6201-8205-4453-b72c-d93fc6c8f3b7;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Paralysie flasque;uncommon;Erkrankungen des Nervensystems;Observée après un traitement prolongé.;moderate;2025-12-07 21:54:46.139015+00
c0f46760-ecb0-403d-b5c2-a7c7ecba17f7;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Tinnitus;uncommon;Erkrankungen des Ohrs und des Labyrinths;;mild;2025-12-07 21:54:46.255742+00
3b7aaf9f-8bd5-4cf7-80e8-e7e5c2e7229a;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Œdème pulmonaire non cardiogénique;very_rare;Erkrankungen der Atemwege, des Brustraums und des Mediastinums;Cas graves rapportés, même après une dose unique, avec symptômes de dyspnée, hypoxie, insuffisance respiratoire.;severe;2025-12-07 21:54:46.359644+00
fe61ab31-3428-4a41-9df9-080eb206a511;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Diarrhée;common;Erkrankungen des Gastrointestinaltrakts;;mild;2025-12-07 21:54:46.473425+00
a9b9da34-a53b-4be1-ac10-2acc8c0b2f35;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Diminution de l'appétit ou troubles du goût;common;Erkrankungen des Gastrointestinaltrakts;;mild;2025-12-07 21:54:46.589249+00
80883168-57bd-46ac-aa96-26fc5a282f9c;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Photosensibilité;very_rare;Erkrankungen der Haut und des Unterhautgewebes;;moderate;2025-12-07 21:54:46.69381+00
c14325e3-3ad6-4c2a-9371-6432042b418c;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Pustulose exanthématique aiguë généralisée (AGEP);unbekannt;Erkrankungen der Haut und des Unterhautgewebes;Apparition d'un érythème fébrile généralisé avec pustules au début du traitement. Nécessite l'arrêt du traitement.;severe;2025-12-07 21:54:46.824577+00
a5cf8162-0353-4c98-850b-8b95c5745abb;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Douleur au site d'injection;unbekannt;Allgemeine Erkrankungen und Reaktionen am Verabreichungsort;Après administration parentérale.;mild;2025-12-07 21:54:46.94056+00
e4c5a53c-0a49-458a-a993-9102d025d5ab;08504ce8-3ff5-4703-b813-de627c948249;Sinusitis;uncommon;Infektionen und parasitäre Erkrankungen;nicht näher bezeichnete Infektion;;2025-12-07 22:36:59.976622+00
c4cc75fe-903d-496f-924c-d2f069fd527f;08504ce8-3ff5-4703-b813-de627c948249;Augenirritationen;common;Augenerkrankungen;;;2025-12-07 22:37:00.213428+00
4ea85035-a98c-487d-ab1c-a0bc405f7398;08504ce8-3ff5-4703-b813-de627c948249;Augenschmerzen;common;Augenerkrankungen;;;2025-12-07 22:37:00.406488+00
6d301333-8572-487c-bbc2-59c63133f728;08504ce8-3ff5-4703-b813-de627c948249;Sehstörungen;unknown;Augenerkrankungen;;;2025-12-07 22:37:00.6076+00
1ed2bcd3-12c4-4f23-b852-9c2181c23114;08504ce8-3ff5-4703-b813-de627c948249;Herpes-Keratitis;unknown;Infektionen und parasitäre Erkrankungen (Latanoprost);;;2025-12-07 22:37:00.773153+00
7f9c4676-8a5f-4e63-a6a3-b1fe37c06e93;08504ce8-3ff5-4703-b813-de627c948249;Makulaödeme einschliesslich zystoide Makulaödeme;uncommon;Augenerkrankungen (Latanoprost);;;2025-12-07 22:37:00.963657+00
31a51a9d-c872-4d59-b7a1-3a0da7a33728;08504ce8-3ff5-4703-b813-de627c948249;Hornhauterosion;unknown;Augenerkrankungen (Latanoprost);;;2025-12-07 22:37:01.155561+00
4fee6f05-d825-44db-a925-8ea6d41840fd;08504ce8-3ff5-4703-b813-de627c948249;Angina pectoris;uncommon;Herzerkrankungen (Latanoprost);;;2025-12-07 22:37:01.579609+00
01d1ebce-9e74-48db-848b-1763688fc3b3;08504ce8-3ff5-4703-b813-de627c948249;akute Asthma-Attacken;unknown;Erkrankungen der Atemwege, des Brustraums und Mediastinums (Latanoprost);;;2025-12-07 22:37:01.741503+00
4af75405-3682-4afe-a484-e03f731133cc;08504ce8-3ff5-4703-b813-de627c948249;lokalisierte Hautreaktionen auf den Augenlidern;unknown;Erkrankungen der Haut und des Unterhautgewebes (Latanoprost);;;2025-12-07 22:37:01.914704+00
c5d2cf87-c62c-4a50-80b2-39dd0c3419e0;8fff5952-a7d3-4685-ae99-dd0995e24d5a;Ictère;;Foie et voies biliaires;Le traitement doit être interrompu en cas d'apparition.;moderate;2025-12-07 22:37:38.01002+00
32dcd204-fc51-4265-bd16-26a4cfe28914;8fff5952-a7d3-4685-ae99-dd0995e24d5a;Mort subite;;Système cardiovasculaire;Rapports post-commercialisation, souvent liés à des surdosages ou en présence d'autres facteurs de risque (ex: administration concomitante d'autres médicaments allongeant le QTc).;severe;2025-12-07 22:37:38.194043+00
288e9362-321c-4a94-85c9-6da15e8ba84f;19b5d540-1c5e-4f99-8a4d-2e082f25f291;Mukokutane Candidiasis;common;Infektionen und parasitäre Erkrankungen;;;2025-12-07 22:38:59.346458+00
7a647829-2735-4016-a1bf-e7d7f4bf388f;6559eae7-1023-4cb1-b959-3bf1ccd7e721;Pancréatite aiguë;;Gastrointestinal system;Cas rapportés avec la linagliptine. Le traitement doit être interrompu en cas de suspicion. Une prudence est requise chez les patients ayant des antécédents de pancréatite. Des élévations de l'amylase et/ou de la lipase ont été observées.;severe;2025-12-07 22:39:25.302308+00
03518716-4377-47b8-882e-a62288db026a;6559eae7-1023-4cb1-b959-3bf1ccd7e721;Diabétische Ketoazidose;;Metabolic and nutritional disorders;Cas rapportés avec l'empagliflozine, certains fatals. Peut survenir avec des taux de glycémie modérément élevés. Des symptômes atypiques peuvent se manifester. Glyxambi doit être arrêté en cas de suspicion et une surveillance des corps cétoniques est recommandée.;severe;2025-12-07 22:39:25.526861+00
bcae5dd9-6637-4064-9025-fcb7d3693a1a;36e50601-9245-4b76-8e60-c40bfedb65a0;Allergische Reaktionen;rare;Skin and subcutaneous tissue;Hautrötung, Schwellung, Juckreiz. Bei überempfindlichen Personen kann es zum allergischen Schock kommen.;;2025-12-07 22:40:42.89614+00
6b957535-4eb2-4df9-b6d1-c6d9f95298df;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Colique rénale et urétérale;unbekannt;Erkrankungen der Nieren und Harnwege;;severe;2025-12-07 21:54:45.811349+00
88a07c16-eda1-43c4-8fef-e8f6469adacd;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Dépression;uncommon;Psychiatrische Erkrankungen;;moderate;2025-12-07 21:54:45.918392+00
052ecf72-6c7a-4f5f-86af-d1819c210797;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Diminution de la libido;unbekannt;Psychiatrische Erkrankungen;;mild;2025-12-07 21:54:46.036906+00
a4bacab5-060f-4f41-baec-360a3cb04ecf;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Convulsions;uncommon;Erkrankungen des Nervensystems;Observées après un traitement prolongé.;severe;2025-12-07 21:54:46.179236+00
935c41f1-2257-43d2-b713-9b45d7566d56;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Collapsus (Schock);very_rare;Gefässerkrankungen;;severe;2025-12-07 21:54:46.286701+00
e1803843-2aff-41cc-9c60-249a735ac26f;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Nausées;common;Erkrankungen des Gastrointestinaltrakts;;mild;2025-12-07 21:54:46.395064+00
cb1cf60b-ce58-456d-9c86-ea74f5f21007;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Douleurs abdominales;common;Erkrankungen des Gastrointestinaltrakts;;mild;2025-12-07 21:54:46.507022+00
2bba8c1e-1bc3-4bac-95f2-e781c1d2cdd7;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Bouche sèche;uncommon;Erkrankungen des Gastrointestinaltrakts;;mild;2025-12-07 21:54:46.628642+00
d7e6bdfc-259a-4272-b67f-62caaa366f8a;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Urticaire;unbekannt;Erkrankungen der Haut und des Unterhautgewebes;;moderate;2025-12-07 21:54:46.755942+00
cff75d43-9b23-4b5e-9d7f-3c10756ed5d9;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Fatigue, capacité réduite;common;Allgemeine Erkrankungen und Reaktionen am Verabreichungsort;;mild;2025-12-07 21:54:46.867045+00
fed03de8-cb17-4704-8825-637114c5265d;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Choroidaler épanchement (Aderhauterguss);unbekannt;Augenerkrankungen;Symptômes incluant une vision réduite ou des douleurs oculaires dans les heures suivant le début du traitement.;moderate;2025-12-07 21:54:46.972629+00
