id;medication_id;interacting_drug;interaction_type;severity;description;recommendation;created_at
967c5d3c-e1c2-47f0-93ba-8267d8b465b0;745e9e61-0671-442e-af34-823e8b92edf0;Chloramphenicol;potentiation;moderate;Die Eliminationshalbwertszeit von Chloramphenicol wird durch Paracetamol um das 5-fache verlängert.;;2025-12-07 21:53:48.697762+00
cd9409df-91f9-455a-b84d-3ff26f6508f0;745e9e61-0671-442e-af34-823e8b92edf0;Salicylamid;potentiation;moderate;Verlängert die Eliminationshalbwertszeit von Paracetamol und vermehrt den Anfall lebertoxischer Metabolite.;;2025-12-07 21:53:48.741356+00
9268d87d-9c07-4677-a6fa-13036e23e81b;745e9e61-0671-442e-af34-823e8b92edf0;Chlorzoxazon;increased_toxicity;moderate;Bei gleichzeitiger Gabe von Paracetamol und Chlorzoxazon steigt die Hepatotoxizität beider Substanzen.;;2025-12-07 21:53:48.779875+00
da8a715d-d881-45a4-9f11-a64b7b516f14;745e9e61-0671-442e-af34-823e8b92edf0;Zidovudin;potentiation;moderate;Durch die gleichzeitige Anwendung von Zidovudin und Paracetamol wird die Neigung zu einer Neutropenie verstärkt.;;2025-12-07 21:53:48.81894+00
68dff495-16ba-451e-9415-5e01038575fd;745e9e61-0671-442e-af34-823e8b92edf0;Probenecid;potentiation;moderate;Hemmt die Konjugation von Paracetamol mit Glucuronsäure und führt dadurch zu einer etwa um die Hälfte reduzierten Paracetamol-Clearance.;Bei gleichzeitiger Einnahme sollte die Paracetamoldosis verringert werden.;2025-12-07 21:53:48.85614+00
3a066009-d248-44ab-b5a4-3d347921c9a1;745e9e61-0671-442e-af34-823e8b92edf0;Cholestyramin;antagonism;minor;Verringert die Aufnahme von Paracetamol.;;2025-12-07 21:53:48.893574+00
6f33fdb1-c1b6-4ebe-a941-2e27d3515b28;745e9e61-0671-442e-af34-823e8b92edf0;Antikoagulantien (Warfarin und andere Kumarine);potentiation;moderate;Der antikoagulierende Effekt kann bei langfristiger, täglicher Einnahme von Paracetamol verstärkt auftreten und damit das Risiko von Blutungen erhöhen.;Der INR-Wert sollte während der gleichzeitigen Einnahme, wie auch 1 Woche nach Beendigung der Paracetamol-Therapie, vermehrt überwacht werden. Gelegentliche Einnahmen haben keinen signifikanten Effekt. Daten zur Interaktion von Paracetamol mit den neueren oralen Antikoagulantien (Dabigatran, Rivaroxaban, Apixaban) liegen nicht vor.;2025-12-07 21:53:48.951011+00
6e56c394-7c93-4a9c-a794-151ba5559d96;745e9e61-0671-442e-af34-823e8b92edf0;Flucloxacillin;increased_toxicity;moderate;Die gleichzeitige Einnahme dieser Arzneimittel wurde mit einer metabolischen Azidose mit hoher Anionenlücke verbunden, insbesondere bei Patienten mit Risikofaktoren (schwere Nierenfunktionsstörung, Sepsis oder Mangelernährung, vor allem, wenn Tageshöchstdosen von Paracetamol angewendet werden).;Vorsicht wird empfohlen, wenn Paracetamol (hauptsächlich in hohen Dosen und/oder über einen längeren Zeitraum) gleichzeitig mit Flucloxacillin eingenommen wird. Nach gleichzeitiger Verabreichung von Paracetamol und Flucloxacillin wird eine engmaschige Überwachung empfohlen, um das Auftreten von Ungleichgewichten des Säure-Basen-Haushaltes, insbesondere einer metabolischen Azidose mit vergrösserter Anionenlücke, festzustellen. Es sollte auch ein Urintest im Hinblick auf 5-Oxoprolin erfolgen. Wenn Flucloxacillin nach Absetzen von Paracetamol weiter angewendet wird, ist es ratsam sicherzustellen, dass keine Zeichen einer metabolischen Azidose mit vergrösserter Anionenlücke vorliegen, da die Möglichkeit besteht, dass Flucloxacillin das Krankheitsbild der metabolischen Azidose mit vergrösserter Anionenlücke aufrechterhält.;2025-12-07 21:53:48.988695+00
2d22d2ca-9900-4f37-b887-96fcb6ada8d9;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Probenecid;potentiation;moderate;L'effet de l'acétazolamide est renforcé.;;2025-12-07 21:54:47.060922+00
fcde44e1-1025-483d-8826-37c735f1252f;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Sulfinpyrazone;potentiation;moderate;L'effet de l'acétazolamide est renforcé.;;2025-12-07 21:54:47.095985+00
df6167c5-77b2-4f7f-8e0e-ced99963adbc;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Sulfonylharnstoffe;potentiation;moderate;L'acétazolamide renforce l'effet des sulfonylurées.;;2025-12-07 21:54:47.130069+00
0cbd1c0d-feca-4745-a6d5-b81c65e58df2;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Anticoagulants oraux;potentiation;moderate;L'acétazolamide renforce l'effet des anticoagulants oraux.;;2025-12-07 21:54:47.16338+00
b2a8a51b-9e08-4dd1-86dc-010325912258;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Barbituriques;potentiation;moderate;L'acétazolamide renforce l'effet des barbituriques.;;2025-12-07 21:54:47.201356+00
958508eb-7491-4f24-aec7-29a96bc3f592;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Autres diurétiques (ex: Furosémide, Hydrochlorothiazide);increased_toxicity;moderate;Augmente le risque d'anomalies électrolytiques et de déshydratation en raison de l'effet kaliurétique de l'acétazolamide.;Utiliser avec prudence et surveiller les électrolytes.;2025-12-07 21:54:47.310751+00
bed5017b-e020-43ad-8f8b-b20b184367de;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Phénytoïne;increased_toxicity;moderate;L'acétazolamide modifie le métabolisme de la phénytoïne, augmentant ses concentrations sériques.;Surveiller les niveaux sériques de phénytoïne et ajuster la dose si nécessaire.;2025-12-07 21:54:47.409066+00
9fbc6477-0688-447d-b225-81da5bc1c2dc;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Carbamazépine;potentiation;moderate;Rapports isolés d'augmentation des niveaux sériques de carbamazépine avec l'utilisation concomitante d'acétazolamide.;Surveiller les niveaux sériques de carbamazépine.;2025-12-07 21:54:47.509833+00
7a1528aa-2110-47cd-8919-43136ec8230d;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Quinidine (non autorisé en Suisse);potentiation;moderate;L'acétazolamide, par alcalinisation de l'urine tubulaire, diminue l'excrétion urinaire de la quinidine et peut ainsi renforcer son effet.;;2025-12-07 21:54:47.63815+00
8621d754-f836-49c3-9d38-cf617bce7fee;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Ciclosporine;increased_toxicity;moderate;L'acétazolamide peut augmenter le taux sanguin de ciclosporine.;Utiliser avec prudence et surveiller les niveaux de ciclosporine.;2025-12-07 21:54:47.735218+00
ff15857c-7c7e-4ac3-8ec3-ecb215780942;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Méthotrexate;increased_toxicity;major;L'acétazolamide renforce la toxicité du méthotrexate.;;2025-12-07 21:54:47.233591+00
7bb23ffd-5d42-44c5-9cdc-503d6b4f823e;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Digoxine;increased_toxicity;major;Une hypokaliémie (due à l'acétazolamide) augmente le risque de bradycardie jonctionnelle ou d'autres formes de toxicité de la digoxine chez les patients traités pour fibrillation auriculaire ou cardiomyopathie.;Surveiller attentivement les taux de potassium et les signes de toxicité de la digoxine.;2025-12-07 21:54:47.343383+00
1a0cbb72-03e6-4196-814c-b41f175a580b;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Autres antiépileptiques;increased_toxicity;moderate;De graves ostéomalacies ont été observées chez certains patients recevant de l'acétazolamide en association avec d'autres antiépileptiques.;;2025-12-07 21:54:47.443786+00
fde3b2d4-19f9-4e8c-90a2-3fec730146d5;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Autres inhibiteurs de l'anhydrase carbonique;increased_toxicity;major;Déconseillé en raison des effets additifs possibles.;Éviter l'utilisation concomitante.;2025-12-07 21:54:47.568024+00
4ec314e8-d6c0-4aed-a7f0-fc9c35f53616;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Hexaméthylènetétramine;increased_toxicity;moderate;Risque de formation de concrétions dans l'urine.;Éviter l'utilisation concomitante.;2025-12-07 21:54:47.668757+00
aad918fe-f942-4a07-bc9a-ac704a951d73;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Acétylsalicylsäure (à fortes doses);increased_toxicity;major;L'utilisation concomitante peut entraîner une acidose métabolique sévère et une toxicité accrue pour le SNC.;Éviter l'utilisation concomitante ou surveiller étroitement.;2025-12-07 21:54:47.272488+00
7b4fe895-8d45-4d4b-85af-653483349739;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Doperidol;increased_toxicity;major;L'utilisation concomitante avec des diurétiques hypokaliémants (comme l'acétazolamide) augmente le risque d'allongement de l'intervalle QT et d'arythmies subséquentes.;Éviter l'utilisation concomitante si possible ou surveiller l'intervalle QT et les électrolytes.;2025-12-07 21:54:47.374912+00
9759c5b6-588b-4a74-ad21-45cf2a427205;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Primidone;decreased_efficacy;moderate;Rapports isolés de réduction des niveaux sériques de primidone avec l'utilisation concomitante d'acétazolamide.;Surveiller les niveaux sériques de primidone.;2025-12-07 21:54:47.47328+00
4dbdca93-4516-40aa-83d7-45cfe0021695;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Amphétamines;potentiation;moderate;L'acétazolamide, par alcalinisation de l'urine tubulaire, diminue l'excrétion urinaire des amphétamines et peut ainsi prolonger leur effet.;;2025-12-07 21:54:47.603632+00
b194a746-e319-49c1-a627-63b1db2ad25e;fe5786d8-a0b3-4d64-a678-1ddce7c77222;Lithium;decreased_efficacy;moderate;L'acétazolamide favorise l'excrétion du lithium. L'effet des préparations de lithium peut être diminué.;Surveiller les niveaux de lithium.;2025-12-07 21:54:47.700881+00
50cd745d-f21f-4fe3-8775-986f8a8b0757;e091164e-8b40-45d3-b15c-126be2c24569;Methotrexat;increased_toxicity;contraindicated;Verstärkte Toxizität von Methotrexat (generell verringern entzündungshemmende Wirkstoffe die Ausscheidung von Methotrexat und Salicylate verdrängen es aus seiner Plasmaproteinbindung);;2025-12-07 21:55:30.869917+00
79f0696e-1324-4926-a4e4-8275b0b3afe7;e091164e-8b40-45d3-b15c-126be2c24569;Methotrexat (Dosen unter 15 mg/Woche);increased_toxicity;moderate;Verstärkte Toxizität von Methotrexat (generell verringern entzündungshemmende Wirkstoffe die Ausscheidung von Methotrexat und Salicylate verdrängen es aus seiner Plasmaproteinbindung);Besondere Vorsicht erforderlich.;2025-12-07 21:55:30.906997+00
496c86ec-1410-4d5b-983f-e3abf6cc1be5;e091164e-8b40-45d3-b15c-126be2c24569;Antidiabetika (z.B. Insulin, Sulfonylharnstoffe);potentiation;moderate;Der Blutzuckerspiegel kann sinken.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:30.939394+00
54458fc2-8f6f-4553-8f44-4b03fdf03d18;e091164e-8b40-45d3-b15c-126be2c24569;Antikoagulantien/Thrombolytika;potentiation;moderate;Verstärkung der Wirkung von Antikoagulantien/Thrombolytika.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:30.975186+00
2a66b47d-76d9-496d-bfdb-dc2300a5934b;e091164e-8b40-45d3-b15c-126be2c24569;Barbiturate;potentiation;moderate;Verstärkung der Wirkung von Barbituraten.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.011881+00
e5243b59-834f-4fd0-88c8-4a1554641095;e091164e-8b40-45d3-b15c-126be2c24569;Lithium;potentiation;moderate;Verstärkung der Wirkung von Lithium.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.042763+00
0f1bbf70-9b21-4219-9e56-571dc399a5dc;e091164e-8b40-45d3-b15c-126be2c24569;Sulfonamide;potentiation;moderate;Verstärkung der Wirkung von Sulfonamiden.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.07513+00
700d8df1-a87a-48ca-81fc-05a6900100b3;e091164e-8b40-45d3-b15c-126be2c24569;Trijodthyronin;potentiation;moderate;Verstärkung der Wirkung von Trijodthyronin.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.109737+00
7e0a8527-d145-487e-b102-1c46be80e733;e091164e-8b40-45d3-b15c-126be2c24569;Selektive Serotonin-Wiederaufnahme-Hemmer (SSRI);increased_toxicity;moderate;Erhöhtes Risiko für Blutungen aufgrund synergistischer Effekte.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.143448+00
31d34851-d08b-4ae1-ad70-a6569b3d019a;e091164e-8b40-45d3-b15c-126be2c24569;Digoxin;potentiation;moderate;Erhöhte Plasmaspiegel von Digoxin, verursacht durch eine verminderte renale Ausscheidung.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.179782+00
e90c9a7a-5e1f-4a02-b825-8d955a90745a;e091164e-8b40-45d3-b15c-126be2c24569;Phenytoin;potentiation;moderate;Erhöhung der Plasmakonzentrationen von Phenytoin.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.219815+00
51b38ce9-6f11-417b-a376-eeb128887c56;e091164e-8b40-45d3-b15c-126be2c24569;Valproat;potentiation;moderate;Erhöhung der Plasmakonzentrationen von Valproat, was zu einer höheren Rate von unerwünschten Wirkungen bis zu Zeichen einer Intoxikation wie Tremor, Nystagmus, Ataxie und Persönlichkeitsveränderungen führen kann (Acetylsalicylsäure bewirkt eine Freisetzung der gebundenen Valproinsäure aus den Serumproteinen und eine Herabsetzung dessen Metabolismus).;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.252894+00
8c035c50-f8c3-4f53-9bd9-a7a74c8590e7;e091164e-8b40-45d3-b15c-126be2c24569;Alle nicht-steroidalen Antirheumatika (NSAR);potentiation;moderate;Verstärkung von Wirkung und Nebenwirkungen von allen nicht-steroidalen Antirheumatika.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.292465+00
98ad343a-9031-4148-be1d-e656b2090048;e091164e-8b40-45d3-b15c-126be2c24569;NSAIDs (wie Ibuprofen und Naproxen);antagonism;moderate;Die am gleichen Tag erfolgte Einnahme kann die irreversible thrombozytenaggregationshemmende Wirkung von Acetylsalicylsäure abschwächen.;Patienten sollten ihren Arzt/ihre Ärztin kontaktieren, wenn sie Aspirin Cardio einnehmen und gleichzeitig ein NSAIDs-haltiges Schmerzmittel einnehmen möchten.;2025-12-07 21:55:31.32537+00
3102ca62-a26e-4342-96c9-f768f3056fe1;e091164e-8b40-45d3-b15c-126be2c24569;Metamizol;antagonism;moderate;Metamizol kann bei gleichzeitiger Anwendung die Wirkung von Acetylsalicylsäure auf die Thrombozytenaggregation vermindern.;Sollte bei Patienten, die Acetylsalicylsäure in niedriger Dosierung zur Kardioprotektion einnehmen, mit Vorsicht angewendet werden.;2025-12-07 21:55:31.356034+00
d0100147-2043-4160-a372-1646a9df8a6c;e091164e-8b40-45d3-b15c-126be2c24569;Antihypertensiva (ACE-Hemmer und β-Blocker);antagonism;moderate;Bei Hypertonikern, die mit diesen Arzneimitteln und Aspirin Cardio behandelt werden, soll der Blutdruck engmaschig überwacht und gegebenenfalls die Dosierung angepasst werden.;Blutdruck engmaschig überwachen und ggf. Dosierung anpassen.;2025-12-07 21:55:31.39122+00
d3bc5c65-519e-447b-9a41-56381c30695c;e091164e-8b40-45d3-b15c-126be2c24569;Diuretika (in höheren Dosen Acetylsalicylsäure);decreased_efficacy;moderate;Abschwächung der diuretischen Wirkung.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.422959+00
ccf53dc2-4378-4472-9de3-0deb790d8bc9;e091164e-8b40-45d3-b15c-126be2c24569;Urikosurika (z.B. Probenecid, Sulfinpyrazem);decreased_efficacy;moderate;Abschwächung der Wirkung von Urikosurika.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.462792+00
855a0d58-1817-42e7-92f4-7f99709f53e7;e091164e-8b40-45d3-b15c-126be2c24569;Systemische Glucokortikoide;increased_toxicity;moderate;"Erhöhtes Risiko für gastrointestinale Ulzera und Blutungen; verminderte Salicylatspiegel während der Cortisonbehandlung, Risiko einer Salicylatüberdosierung nach Beendigung der Behandlung mit Glucokortikoiden.";Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.492927+00
4b05c79f-4cfb-40eb-8896-3f2e2a45fed1;e091164e-8b40-45d3-b15c-126be2c24569;Alkohol;increased_toxicity;moderate;"Erhöhtes Risiko für gastrointestinale Ulzera und Blutungen; verlängerte Blutungszeit.";Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.539397+00
ff51b102-7556-4125-859e-04d68f9dfc2f;e091164e-8b40-45d3-b15c-126be2c24569;Penicillinen;potentiation;minor;Verlängerung der Plasmahalbwertszeit von Penicillinen.;Besondere Vorsicht erforderlich.;2025-12-07 21:55:31.575519+00
d7f68683-f5c1-4cc8-89d6-d86692438ff1;e091164e-8b40-45d3-b15c-126be2c24569;Methotrexat;increased_toxicity;contraindicated;Verstärkte Toxizität von Methotrexat (generell verringern entzündungshemmende Wirkstoffe die Ausscheidung von Methotrexat und Salicylate verdrängen es aus seiner Plasmaproteinbindung). Dosen von 15 mg/Woche oder mehr.;Gleichzeitige Anwendung kontraindiziert.;2025-12-07 21:56:17.150532+00
081e3504-f13f-415f-9063-32e658043877;e091164e-8b40-45d3-b15c-126be2c24569;Methotrexat;increased_toxicity;major;Verstärkte Toxizität von Methotrexat (generell verringern entzündungshemmende Wirkstoffe die Ausscheidung von Methotrexat und Salicylate verdrängen es aus seiner Plasmaproteinbindung). Dosen unter 15 mg/Woche.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.218626+00
3d6ba25d-c7be-4a5c-b25e-47271220e3f9;e091164e-8b40-45d3-b15c-126be2c24569;Antidiabetika (z.B. Insulin, Sulfonylharnstoffe);potentiation;moderate;Der Blutzuckerspiegel kann sinken.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.255639+00
34cc9c59-8b47-43c6-bd75-94590ec1b0ba;e091164e-8b40-45d3-b15c-126be2c24569;Antikoagulantien;potentiation;moderate;Verstärkung der Wirkung.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.290148+00
af71510c-b3a5-4bfc-8a73-db8e34e6691c;e091164e-8b40-45d3-b15c-126be2c24569;Lithium;potentiation;moderate;Verstärkung der Wirkung.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.407156+00
a2a9cdc0-e40a-4958-af46-9c128740b048;e091164e-8b40-45d3-b15c-126be2c24569;Selektive Serotonin-Wiederaufnahme-Hemmer (SSRI);increased_toxicity;moderate;Erhöhtes Risiko für Blutungen aufgrund synergistischer Effekte.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.546142+00
43ecfdaa-f320-42f5-91e3-95179ea2da92;e091164e-8b40-45d3-b15c-126be2c24569;Valproat;potentiation;moderate;Acetylsalicylsäure bewirkt eine Freisetzung der gebundenen Valproinsäure aus den Serumproteinen und eine Herabsetzung dessen Metabolismus. Somit werden die Plasmakonzentrationen von Valproat erhöht, was zu einer höheren Rate von unerwünschten Wirkungen bis zu Zeichen einer Intoxikation wie Tremor, Nystagmus, Ataxie und Persönlichkeitsveränderungen führen kann.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.660821+00
02b2d254-528a-48a2-8d4f-cb870143a337;e091164e-8b40-45d3-b15c-126be2c24569;Metamizol;antagonism;moderate;Metamizol kann bei gleichzeitiger Anwendung die Wirkung von Acetylsalicylsäure auf die Thrombozytenaggregation vermindern.;Metamizol sollte bei Patienten, die Acetylsalicylsäure in niedriger Dosierung zur Kardioprotektion einnehmen, mit Vorsicht angewendet werden.;2025-12-07 21:56:17.771182+00
75a1ae33-0880-4ba9-9632-79007b6665eb;e091164e-8b40-45d3-b15c-126be2c24569;Urikosurika (z.B. Probenecid, Sulfinpyrazin);antagonism;moderate;Abschwächung der Wirkung von Urikosurika.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.880865+00
7913ff6b-fb06-4e7f-a514-549627c7da91;e091164e-8b40-45d3-b15c-126be2c24569;Penicilline;potentiation;minor;Verlängerung der Plasmahalbwertszeit von Penicillinen.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:18.001815+00
cfa12e3e-0754-4b03-9e33-8799ea84f9dd;e091164e-8b40-45d3-b15c-126be2c24569;Thrombolytika;potentiation;moderate;Verstärkung der Wirkung.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.334014+00
04f0b42d-561c-4091-ac4e-645d7ec7e755;e091164e-8b40-45d3-b15c-126be2c24569;Sulfonamide;potentiation;moderate;Verstärkung der Wirkung.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.442351+00
bf3ab064-eb7b-4a08-9fc5-d26cdb12a6fc;e091164e-8b40-45d3-b15c-126be2c24569;Digoxin;potentiation;moderate;Erhöhte Plasmaspiegel von Digoxin, verursacht durch eine verminderte renale Ausscheidung.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.58357+00
2b70396a-0b69-41ff-a567-2b6517f99708;e091164e-8b40-45d3-b15c-126be2c24569;Alle nicht-steroidalen Antirheumatika;potentiation;moderate;Verstärkung von Wirkung und Nebenwirkungen.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.696205+00
124f8169-b8d4-4cc3-a1b9-a385f2daef25;e091164e-8b40-45d3-b15c-126be2c24569;Antihypertensiva (ACE-Hemmer und β-Blocker);antagonism;moderate;Bei Hypertonikern, die mit diesen Arzneimitteln und Aspirin Cardio behandelt werden, soll der Blutdruck engmaschig überwacht und gegebenenfalls die Dosierung angepasst werden.;Blutdruck engmaschig überwachen und gegebenenfalls Dosierung anpassen.;2025-12-07 21:56:17.808391+00
6c47e17f-1100-40c4-8b89-4d28ee91518a;e091164e-8b40-45d3-b15c-126be2c24569;Systemische Glucokortikoide;increased_toxicity;moderate;"Erhöhtes Risiko für gastrointestinale Ulzera und Blutungen; verminderte Salicylatspiegel während der Cortisonbehandlung, Risiko einer Salicylatüberdosierung nach Beendigung der Behandlung mit Glucokortikoiden.";Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.919963+00
11993f08-27bf-4ada-b785-791e8711930e;e091164e-8b40-45d3-b15c-126be2c24569;Barbiturate;potentiation;moderate;Verstärkung der Wirkung.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.372363+00
5949ca39-8711-4d7e-b353-38b32e363f5d;e091164e-8b40-45d3-b15c-126be2c24569;Trijodthyronin;potentiation;moderate;Verstärkung der Wirkung.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.508554+00
4ab658f7-1d6f-479f-83c5-ed7ed7bdf9ea;e091164e-8b40-45d3-b15c-126be2c24569;Phenytoin;potentiation;moderate;Erhöhung der Plasmakonzentrationen von Phenytoin.;Besondere Vorsicht erforderlich.;2025-12-07 21:56:17.62079+00
5f7c7334-d50f-4022-8438-12fbc0416322;e091164e-8b40-45d3-b15c-126be2c24569;Ibuprofen und Naproxen (NSAIDs);antagonism;moderate;Die am gleichen Tag erfolgte Einnahme von NSAIDs, wie Ibuprofen und Naproxen, kann die irreversible thrombozytenaggregationshemmende Wirkung von Acetylsalicylsäure abschwächen. Die klinische Relevanz dieser Interaktion ist nicht bekannt. Die Behandlung von Patienten bzw. Patientinnen mit hohem kardiovaskulärem Risiko mit einigen NSAIDs, wie Ibuprofen und Naproxen, kann die kardioprotektive Wirkung von Acetylsaliclysäure einschränken.;Patienten und Patientinnen sollten ihren Arzt/ihre Ärztin kontaktieren, wenn sie Aspirin Cardio einnehmen und gleichzeitig ein NSAIDs-haltiges Schmerzmittel einnehmen möchten.;2025-12-07 21:56:17.73162+00
