id;name;icd_code;synonyms;description;category;specialty;severity;created_at;updated_at
dc38eb5c-95c5-49c2-9aaf-32b9b2dde0a9;Vesical fistula, not elsewhere classified;N32.2;"[""Fistula vesikalis , tidak diklasifikasikan di tempat lain""]";Vesical fistula, not elsewhere classified;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
0d8cd943-7a62-4b33-ad37-604f80375790;Diverticulum of bladder;N32.3;"[""Divertikulum kandung kemih""]";Diverticulum of bladder;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
2ba6d46b-120b-44d3-988a-ce4ef8ff1e7b;Rupture of bladder, nontraumatic;N32.4;"[""Pecahnya kandung kemih , nontraumatic""]";Rupture of bladder, nontraumatic;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
5626b2bf-8104-4376-bd7a-940a4ec6931e;Other specified disorders of bladder;N32.8;"[""Gangguan tertentu lainnya dari kandung kemih""]";Other specified disorders of bladder;Urologique;Urologie;moderate;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
e570f750-d9c7-4f19-84ac-897dd9c838b5;Bladder disorder, unspecified;N32.9;"[""Gangguan kandung kemih , tidak spesifik""]";Bladder disorder, unspecified;Urologique;Urologie;moderate;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
055d5181-ba1b-4fd3-9f1c-4abdb94a62fe;Tuberculous cystitis;N33.0;"[""cystitis TB""]";Tuberculous cystitis;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
9ac69f01-cb1f-4198-b01e-e4c65320abc7;Bladder disorders in other diseases classified elsewhere;N33.8;"[""Gangguan kandung kemih pada penyakit lain yang diklasifikasikan di tempat lain""]";Bladder disorders in other diseases classified elsewhere;Urologique;Urologie;severe;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
f78cfe07-6332-4641-80b6-b3983c287b04;Urethral abscess;N34.0;"[""uretra abses""]";Urethral abscess;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
4bcab95f-4097-497f-8378-3d3d1961bc75;Nonspecific urethritis;N34.1;"[""uretritis nonspesifik""]";Nonspecific urethritis;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
f31786a8-e25b-4c50-ba1c-4bb79874d352;Other urethritis;N34.2;"[""uretritis lainnya""]";Other urethritis;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
a2b1ec66-e15b-48b2-b9bf-ea93fbcdee32;Urethral syndrome, unspecified;N34.3;"[""Sindrom uretra , tidak spesifik""]";Urethral syndrome, unspecified;Urologique;Urologie;moderate;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
fe375f88-26cb-410b-b6e1-90c587e8abd6;Post-traumatic urethral stricture;N35.0;"[""Post-traumatic striktur uretra""]";Post-traumatic urethral stricture;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
d3694704-7ac8-4d13-bcd9-e6f8d28f2dfe;Postinfective urethral stricture, not elsewhere classified;N35.1;"[""Postinfective striktur uretra , tidak diklasifikasikan di tempat lain""]";Postinfective urethral stricture, not elsewhere classified;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
fdf7c29f-7309-427e-967a-7b08b26bbfc1;Other urethral stricture;N35.8;"[""Lain striktur uretra""]";Other urethral stricture;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
52c0af13-c678-4094-bb96-09b0d6a995bc;Urethral stricture, unspecified;N35.9;"[""Striktur uretra , tidak spesifik""]";Urethral stricture, unspecified;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
7be363f4-3092-4e46-83e2-8b2ef6ddf42b;Urethral fistula;N36.0;"[""uretra fistula""]";Urethral fistula;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
643a1255-e58d-4d2e-aaca-0f9f970714cf;Urethral diverticulum;N36.1;"[""uretra diverticulum""]";Urethral diverticulum;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
bb0f6326-3b0d-4565-adfc-96b95d438d7c;Urethral caruncle;N36.2;"[""uretra karunkula""]";Urethral caruncle;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
7b874f33-1c12-448f-b2fd-0db7f8416fe0;Prolapsed urethral mucosa;N36.3;"[""Prolaps uretra mukosa""]";Prolapsed urethral mucosa;Urologique;Urologie;mild;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
114dd739-273a-47ba-a5f1-77a125404993;Other specified disorders of urethra;N36.8;"[""Gangguan tertentu lainnya uretra""]";Other specified disorders of urethra;Urologique;Urologie;moderate;2025-12-07 19:56:44.260592+00;2025-12-07 20:07:38.233031+00
7351c421-9c48-4246-bcb3-040f21108863;Saignements vaginaux en début de grossesse;;"[""Hémorragie vaginale précoce de la grossesse""]";Les saignements vaginaux en début de grossesse surviennent chez 20 à 30% des femmes au cours des 20 premières semaines de gestation. Bien que parfois bénins, ils peuvent indiquer des problèmes de grossesse, y compris un risque accru de fausse couche, de faible poids à la naissance, de mortinatalité ou de naissance prématurée. Un saignement abondant peut entraîner une chute dangereuse de la tension artérielle (choc). La quantité de saignement peut varier, de légères pertes (spotting) à des hémorragies importantes. Une fausse couche est la cause la plus fréquente, et une grossesse ectopique est la cause la plus dangereuse.;Obstétrique;Gynécologie-Obstétrique;severe;2025-12-07 20:09:00.509334+00;2025-12-07 20:09:00.509334+00
13160245-1025-4506-818b-81901f2b18dd;Pyélonéphrite Postpartum;;[];La pyélonéphrite est une infection bactérienne du parenchyme rénal. Elle peut survenir en période post-partum si des bactéries remontent de la vessie. L'infection peut débuter sous forme de bactériurie asymptomatique pendant la grossesse et est parfois associée à la cathétérisation vésicale pour soulager la distension urinaire pendant ou après le travail. L'organisme causal est généralement un type de bactérie coliforme (par exemple, Escherichia coli).;Infectiologie;Gynécologie et Obstétrique;moderate;2025-12-07 20:09:17.169359+00;2025-12-07 20:09:17.169359+00
becb92f2-b043-4849-aefd-f6ad803fb0ac;Maladie du foie gras (MASLD);;"[""Maladie du foie gras non alcoolique"",""NAFLD"",""Stéatose hépatique associée à un dysfonctionnement métabolique""]";La stéatose hépatique associée à un dysfonctionnement métabolique (MASLD), anciennement appelée maladie du foie gras non alcoolique (NAFLD), se développe lorsque de la graisse s'accumule dans le foie en raison de pathologies telles que l'obésité, le diabète de type 2, un taux de cholestérol élevé et une hypertension artérielle. Une alimentation saine peut aider à réduire la graisse et l'inflammation dans le foie, pouvant potentiellement inverser la MASLD et une forme plus grave de maladie hépatique appelée stéatohépatite associée à un dysfonctionnement métabolique (MASH), anciennement appelée stéatohépatite non alcoolique (NASH).;Hépatologie;Gastroentérologie, Nutrition;moderate;2025-12-07 20:09:22.598369+00;2025-12-07 20:09:22.598369+00
3389ad0e-4dfc-4d65-b8a5-0d291bd2c9b9;Hémochromatose;;"[""Hémochromatose héréditaire""]";L'hémochromatose est une maladie qui pousse le corps à absorber trop de fer provenant des aliments. L'excès de fer est stocké dans les organes, notamment le foie, le cœur et le pancréas. Trop de fer peut entraîner des maladies potentiellement mortelles, telles que les maladies du foie, les problèmes cardiaques et le diabète. Il existe plusieurs types d'hémochromatose, mais le type le plus courant est causé par une modification génétique transmise au sein des familles. Seules quelques personnes porteuses des gènes développent des problèmes graves. Les symptômes apparaissent généralement à la cinquantaine.;Maladies métaboliques;Gastroentérologie, Cardiologie, Endocrinologie;severe;2025-12-07 20:10:57.755898+00;2025-12-07 20:10:57.755898+00
aca880bd-37b2-49e5-b15d-4bf17ab47623;Énurésie nocturne;;"[""Incontinence nocturne"",""Énurésie""]";L'énurésie nocturne, également connue sous le nom d'incontinence nocturne, consiste à uriner involontairement pendant le sommeil. Cela se produit après l'âge où l'on peut raisonnablement s'attendre à rester au sec la nuit. Ce n'est pas nécessairement un signe de problèmes d'apprentissage de la propreté, mais souvent une partie typique du développement de l'enfant. En général, avant 7 ans, l'énurésie nocturne ne doit pas susciter d'inquiétude. Après cet âge, des changements de style de vie, un entraînement de la vessie, des alarmes d'humidité et parfois des médicaments peuvent aider à réduire les épisodes d'énurésie.;Pédiatrie;Pédiatrie, Urologie;mild;2025-12-07 20:14:35.205432+00;2025-12-07 20:14:35.205432+00
0df50942-1400-4914-b616-29b62a12649b;Vitiligo (白癜风);;[];Le vitiligo est une maladie qui provoque la formation de taches incolores sur la peau. Les zones dépigmentées ont tendance à s'agrandir progressivement avec le temps. La maladie peut affecter la peau de n'importe quelle partie du corps, ainsi que les cheveux et l'intérieur de la bouche. La couleur des cheveux et de la peau est généralement déterminée par la mélanine. Le vitiligo se déclenche lorsque les cellules qui produisent la mélanine meurent ou cessent de fonctionner. Le vitiligo affecte les personnes de tous types de peau, mais il est plus visible chez les personnes à la peau brune ou noire. Cette maladie n'est pas mortelle et n'est pas contagieuse. Elle peut être stressante ou vous faire vous sentir mal dans votre peau. Le traitement du vitiligo peut restaurer la couleur de la peau affectée, mais ne peut pas empêcher la peau de continuer à perdre sa couleur ou la maladie de récidiver.;Dermatologie;Dermatologie;moderate;2025-12-07 20:16:26.955236+00;2025-12-07 20:16:26.955236+00
82005511-3850-4d8c-a460-10b513891d21;Hypertension artérielle;;"[""Hypertension""]";L'hypertension artérielle, également appelée hypertension, est une condition où la pression artérielle est élevée. Ce tableau de pression artérielle peut vous aider à déterminer si votre pression artérielle est à un niveau sain. Il peut également vous aider à comprendre si vous devez prendre des mesures pour améliorer vos chiffres. Un diagnostic d'hypertension est généralement basé sur la moyenne de deux lectures ou plus prises lors de visites séparées.;Cardiologie;Cardiologie;moderate;2025-12-07 20:18:14.232078+00;2025-12-07 20:18:14.232078+00
249759c0-4d4b-4316-a6d3-573c4acce524;Maux de tête;;"[""Céphalée""]";Le mal de tête est une douleur ou une gêne dans la tête, le cuir chevelu ou le cou. La plupart des maux de tête ne sont pas le résultat d'une maladie grave, mais certains peuvent être dus à une maladie potentiellement mortelle qui nécessite des soins d'urgence. Les maux de tête sont généralement classés selon leur cause en primaires ou secondaires.;Neurologie;Neurologie;moderate;2025-12-07 20:18:30.076599+00;2025-12-07 20:18:30.076599+00
a283a712-d0cb-4c72-a467-40b8dfafeada;Syndrome de sécrétion inappropriée de l'hormone antidiurétique (SIADH);;"[""SIADH""]";Le syndrome de sécrétion inappropriée de l'hormone antidiurétique (ADH, vasopressine) est défini comme une urine moins que maximalement diluée en présence d'une hypo-osmolalité sérique chez des patients ayant une fonction surrénale, thyroïdienne, rénale, hépatique et cardiaque normale et qui ne présentent pas d'hypotension, de déplétion volémique ou d'autres causes physiologiques de sécrétion de vasopressine. Le SIADH est associé à une myriade de maladies. L'hyponatrémie en est la conséquence, et les symptômes sont ceux de l'hyponatrémie. Le diagnostic repose sur la mesure de l'osmolalité du sérum et des urines ainsi que des électrolytes. Le traitement consiste en une restriction hydrique, parfois avec du chlorure de sodium oral ou intraveineux, et rarement avec des médicaments antagonistes des récepteurs de la vasopressine tels que le conivaptan ou le tolvaptan.;Troubles endocriniens et métaboliques;Endocrinologie, Néphrologie;severe;2025-12-07 20:09:27.323498+00;2025-12-07 20:09:27.323498+00
0d6f6914-097e-41a5-a157-19f5ffde85f9;Appendicite;;[];L'appendicite est une inflammation de l'appendice. L'appendice est un sac en forme de doigt qui s'étend du côlon dans le quadrant inférieur droit de l'abdomen. La douleur de l'appendicite commence généralement autour du nombril et se déplace. À mesure que l'inflammation s'aggrave, la douleur de l'appendicite s'intensifie généralement et devient finalement grave.;Gastroentérologie;Chirurgie générale, Gastroentérologie;severe;2025-12-07 20:12:46.531986+00;2025-12-07 20:12:46.531986+00
9a955269-41d1-440e-bbc9-3d392b9a65f8;Troubles de la voix;;[];Un trouble de la voix est un changement dans la façon dont la voix sonne. Plusieurs raisons peuvent être à l'origine de son développement. Les professionnels de la santé spécialisés dans les maladies de l'oreille, du nez et de la gorge, ainsi que les orthophonistes, diagnostiquent et traitent les problèmes de voix. Les cordes vocales, situées dans le larynx, vibrent pour créer le son. Si les cordes vocales deviennent enflées, enflammées, développent des excroissances ou ne peuvent pas bouger comme elles le devraient, elles ne peuvent pas fonctionner correctement, ce qui peut entraîner un trouble de la voix.;Oto-rhino-laryngologie;Oto-rhino-laryngologie, Orthophonie;moderate;2025-12-07 20:13:58.478704+00;2025-12-07 20:13:58.478704+00
0d1ec664-b99a-49a7-bd3b-4699da4ae3b5;Cancer du sein;;[];Le cancer du sein est un type de cancer qui débute par une croissance de cellules dans les tissus mammaires. Après le cancer de la peau, le cancer du sein est le cancer le plus fréquemment diagnostiqué chez les femmes aux États-Unis. Cependant, le cancer du sein ne touche pas uniquement les femmes. Tout le monde naît avec du tissu mammaire, donc n'importe qui peut développer un cancer du sein. Les taux de survie au cancer du sein ont augmenté et le nombre de personnes décédant du cancer du sein diminue régulièrement, en grande partie grâce au soutien généralisé à la sensibilisation au cancer du sein et au financement de la recherche. Les avancées dans le dépistage du cancer du sein permettent aux professionnels de la santé de diagnostiquer le cancer du sein plus tôt, ce qui rend la guérison beaucoup plus probable. Même lorsque le cancer du sein ne peut être guéri, de nombreux traitements existent pour prolonger la vie. De nouvelles découvertes dans la recherche sur le cancer du sein aident les professionnels de la santé à choisir les plans de traitement les plus efficaces.;Oncologie;Oncologie, Sénologie;severe;2025-12-07 20:15:11.607382+00;2025-12-07 20:15:11.607382+00
915cea3f-255b-4202-b436-c9279a0c549c;Rate (splénomégalie);;"[""Splénomégalie""]";Une rate élargie est généralement détectée lors d'un examen physique. Votre médecin peut souvent la sentir en examinant délicatement le haut gauche de votre abdomen. Cependant, chez certaines personnes, en particulier celles qui sont minces, une rate saine de taille normale peut parfois être sentie lors d'un examen.;Hématologie;Médecine interne;;2025-12-07 20:16:09.24836+00;2025-12-07 20:16:09.24836+00
79624fcd-6241-442b-9f07-f181458f0b25;Cancer du sein HER2-positif;;[];Le cancer du sein HER2-positif est un type de cancer du sein dont les cellules testent positives pour une protéine appelée récepteur 2 du facteur de croissance épidermique humain (HER2). Cette protéine favorise la croissance des cellules cancéreuses. Environ un cancer du sein sur cinq présente des copies supplémentaires du gène produisant la protéine HER2. Ces cancers tendent à être plus agressifs, mais répondent très bien aux traitements ciblés.;Oncologie;Cancérologie;severe;2025-12-07 20:16:16.708042+00;2025-12-07 20:16:16.708042+00
24c02478-3e29-48cb-8f5d-2c6a7cfd1c4e;Diarrhée;;[];La diarrhée est un trouble digestif caractérisé par des selles fréquentes et liquides. La plupart des cas de diarrhée aiguë disparaissent d'eux-mêmes en quelques jours sans traitement. Si la diarrhée persiste ou est causée par une infection bactérienne ou parasitaire, un traitement médical peut être nécessaire. Elle peut entraîner une déshydratation et des déséquilibres électrolytiques.;Gastro-entérologie;Gastro-entérologie;moderate;2025-12-07 20:17:49.066392+00;2025-12-07 20:17:49.066392+00
dec1a3ef-f7b9-4f69-b4fd-8f8d3c9dddab;Hypoglycémie;;"[""faible taux de sucre dans le sang""]";L'hypoglycémie est une condition où le taux de sucre (glucose) dans le sang est anormalement bas. Elle peut se manifester par divers symptômes et est souvent liée au traitement du diabète, bien qu'elle puisse survenir chez des personnes non diabétiques en raison d'autres affections sous-jacentes (tumeur pancréatique, etc.).;Endocrinologie;Endocrinologie;moderate;2025-12-07 20:19:16.863993+00;2025-12-07 20:19:16.863993+00
73ecefd5-17d7-4e92-9426-a9a862422784;Borderline tuberculoid leprosy;A30.2;"[""Borderline tuberkuloid kusta""]";Borderline tuberculoid leprosy;Infectieuse;Infectiologie;mild;2025-12-07 19:55:39.45826+00;2025-12-07 20:07:33.58696+00
48bd3984-7208-4ef8-8867-a43db8c31141;Coup du lapin;;"[""Entorse cervicale"",""Traumatisme cervical par accélération-décélération""]";Le coup du lapin (whiplash) est une blessure du cou qui survient généralement à la suite d'un mouvement soudain et violent de la tête vers l'avant puis vers l'arrière, ou inversement. Cela peut étirer et endommager les muscles, les ligaments et les autres tissus du cou. Bien qu'une blessure par coup du lapin ne soit pas visible sur les tests d'imagerie, ces tests peuvent exclure d'autres affections susceptibles d'aggraver la douleur cervicale.;Traumatologie;Neurologie, Orthopédie, Médecine physique et de réadaptation;moderate;2025-12-07 20:09:35.839955+00;2025-12-07 20:09:35.839955+00
d91266b2-1075-4339-9bfc-103139e58dab;Glucagonome;;[];"Un glucagonome est une tumeur des cellules alpha pancréatiques qui sécrète du glucagon, provoquant une hyperglycémie et une éruption cutanée caractéristique. Le diagnostic est établi par des niveaux élevés de glucagon et des études d'imagerie. La tumeur est localisée par CT et échographie endoscopique. Le traitement est la résection chirurgicale. La plupart des glucagonomes sont malins. L'âge moyen au début des symptômes est de 50 ans; 80% des patients sont des femmes. Quelques patients présentent une néoplasie endocrinienne multiple de type 1.";Troubles endocriniens et métaboliques;Endocrinologie;severe;2025-12-07 20:09:42.809704+00;2025-12-07 20:09:42.809704+00
1933101f-7828-4fc0-9ea2-972d201438ae;Ictère du nourrisson;;"[""Jaunisse du nourrisson"",""Hyperbilirubinémie néonatale""]";L'ictère du nourrisson est une coloration jaune de la peau et des yeux d'un nouveau-né. Il est causé par une accumulation de pigment appelé bilirubine dans le sang du bébé. C'est une condition courante, en particulier chez les bébés nés avant 37 semaines de gestation (bébés prématurés) et certains bébés allaités. Il se produit généralement parce que le foie d'un bébé n'est pas assez mature pour éliminer la bilirubine de la circulation sanguine. Dans de rares cas, un taux sanguin de bilirubine exceptionnellement élevé peut exposer un nouveau-né à un risque de lésions cérébrales.;Pédiatrie;Néonatologie;moderate;2025-12-07 20:10:47.574975+00;2025-12-07 20:10:47.574975+00
9146bd0f-42f3-41a8-b464-126f5ca4262f;Douleur cervicale;;"[""Nucalgie"",""Cervicalgie""]";La douleur cervicale causée par la tension ou la tension musculaire disparaît souvent d'elle-même en quelques jours. La douleur cervicale qui persiste plus de plusieurs semaines répond souvent à l'exercice, aux étirements, à la physiothérapie et au massage. Parfois, des injections de stéroïdes ou même une intervention chirurgicale peuvent être nécessaires pour atténuer la douleur cervicale.;;Rhumatologie, Neurologie, Orthopédie;moderate;2025-12-07 20:11:58.78822+00;2025-12-07 20:11:58.78822+00
9ed2cb3d-8afc-4c38-830f-2197bdb6c565;Borderline leprosy;A30.3;"[""Kusta borderline""]";Borderline leprosy;Infectieuse;Infectiologie;mild;2025-12-07 19:55:39.45826+00;2025-12-07 20:07:33.58696+00
8cde9506-12ec-4625-969d-f742d1ec5ac3;Malignant neoplasm of intestinal tract, part unspecified;C26.0;"[""Neoplasma ganas dari usus , bagian yang tidak spesifik""]";Malignant neoplasm of intestinal tract, part unspecified;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
8fb09b18-a1ba-4ec3-ac9c-ecc2343f0a98;Malignant neoplasm of spleen;C26.1;"[""Neoplasma ganas limpa""]";Malignant neoplasm of spleen;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
61a86510-c84b-4db8-ba44-491ef75a97da;Malignant neoplasm overlapping digestive system site;C26.8;"[""Neoplasma ganas tumpang tindih situs sistem pencernaan""]";Malignant neoplasm overlapping digestive system site;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
a4a008cd-5c62-4442-a38f-3b39bfed9e95;Malignant neoplasm of ill-defined sites within the digestive system;C26.9;"[""Neoplasma ganas dari situs yang tidak jelas dalam sistem pencernaan""]";Malignant neoplasm of ill-defined sites within the digestive system;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
424cb55b-0e2e-4443-9795-1eb81dde18a5;Malignant neoplasm of nasal cavity;C30.0;"[""Neoplasma ganas dari rongga hidung""]";Malignant neoplasm of nasal cavity;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
6a7a069b-7e74-4c39-b5fe-1e5f5575bbb2;Malignant neoplasm of middle ear;C30.1;"[""Neoplasma ganas dari telinga tengah""]";Malignant neoplasm of middle ear;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
249e9afe-1747-473c-a366-240856e09ae4;Malignant neoplasm of maxillary sinus;C31.0;"[""Neoplasma ganas dari sinus maksilaris""]";Malignant neoplasm of maxillary sinus;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
c5b4a15d-d4a8-4dcc-bd9a-76b84ccb5417;Malignant neoplasm of ethmoidal sinus;C31.1;"[""Neoplasma ganas dari sinus etmoidalis""]";Malignant neoplasm of ethmoidal sinus;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
7b13990b-a5c9-40f2-b9b1-8a9c2eca3b0b;Malignant neoplasm of frontal sinus;C31.2;"[""Neoplasma ganas dari sinus frontal""]";Malignant neoplasm of frontal sinus;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
ece9fce3-d842-418e-8ec0-d3955b11075f;Malignant neoplasm of sphenoidal sinus;C31.3;"[""Neoplasma ganas dari sinus sphenoidal""]";Malignant neoplasm of sphenoidal sinus;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
a3b2f308-4d03-45a8-a5e6-682cc92a3d0b;Malignant neoplasm overlapping accessory sinus site;C31.8;"[""Neoplasma ganas situs sinus tumpang tindih aksesori""]";Malignant neoplasm overlapping accessory sinus site;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
6055c8bc-9233-496f-83a8-ce6f2d1685d8;Malignant neoplasm of accessory sinus, unspecified;C31.9;"[""Neoplasma ganas dari sinus aksesori , tidak spesifik""]";Malignant neoplasm of accessory sinus, unspecified;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
7cfe7716-a51b-4239-92bc-ba40263b9b41;Malignant neoplasm of glottis;C32.0;"[""Neoplasma ganas glotis""]";Malignant neoplasm of glottis;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
d7cc25cd-b7a3-4afc-b148-5b572e5fe437;Malignant neoplasm of supraglottis;C32.1;"[""Neoplasma ganas dari supraglottis""]";Malignant neoplasm of supraglottis;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
e159bdab-8b63-4ac7-8d71-efb05aa4c367;Malignant neoplasm of subglottis;C32.2;"[""Neoplasma ganas dari subglottis""]";Malignant neoplasm of subglottis;Oncologique;Oncologie;critical;2025-12-07 19:56:40.5604+00;2025-12-07 20:07:34.228165+00
a3a6c23e-478d-44ad-ab46-665392870205;Métatarsalgie;;[];La métatarsalgie est une affection caractérisée par une douleur et une irritation au niveau de la plante du pied. Elle résulte d'activités impliquant la course et le saut, de pieds mal formés ou de chaussures trop serrées ou trop lâches. Bien que généralement non grave, elle peut gêner les mouvements. Les traitements à domicile, comme la glace et le repos, soulagent souvent les symptômes. Le port de chaussures appropriées avec des semelles absorbant les chocs ou des supports de voûte plantaire peut prévenir ou réduire les problèmes futurs.;Douleur musculo-squelettique;Podologie, orthopédie;moderate;2025-12-07 20:09:46.234691+00;2025-12-07 20:09:46.234691+00
